No.,Brand,Product,Category,Standard Size,Volume (L),Weight (kg),Est. Price (PHP),Availability
90,Davies,Acry-Color AC-40 Hansa Yellow 1/4 Liter,Tint / automotive color,0.25 L,0.25,,180,Active
91,Davies,Acry-Color AC-40 Hansa Yellow GAL,Tint / automotive color,4 L / gal,4,,900,Active
92,Davies,Acry-Color AC-40 Hansa Yellow LT,Tint / automotive color,1 L,1,,220,Active
93,Davies,Acry-Color AC-60 Black 1/4 Liter,Tint / automotive color,0.25 L,0.25,,180,Active
94,Davies,Acry-Color AC-60 Black GAL,Tint / automotive color,4 L / gal,4,,900,Active
95,Davies,Acry-Color AC-90 Raw Sienna 1/4 Liter,Tint / automotive color,0.25 L,0.25,,180,Active
96,Davies,Acry-Color AC-90 Raw Sienna GAL,Tint / automotive color,4 L / gal,4,,900,Active
97,Davies,Acry-Color AC-90 Raw Sienna LT,Tint / automotive color,1 L,1,,220,Active
98,Davies,Acry-Color AC-91 Burnt Sienna 1/4 Liter,Tint / automotive color,0.25 L,0.25,,180,Active
99,Davies,Acry-Color AC-91 Burnt Sienna GAL,Tint / automotive color,4 L / gal,4,,900,Active
100,Davies,Acry-Color AC-91 Burnt Sienna LT,Tint / automotive color,1 L,1,,220,Active
101,Davies,Acry-Color AC-92 Raw Umbere 1/4 Liter,Tint / automotive color,0.25 L,0.25,,180,Active
102,Davies,Acry-Color AC-92 Raw Umbere GAL,Tint / automotive color,4 L / gal,4,,900,Active
103,Davies,Acry-Color AC-93 Burnt Amber LT,Tint / automotive color,1 L,1,,220,Active
104,Davies,Acry-Color AC-93 Burnt Umber1/4,Tint / automotive color,piece / assorted,,,250,Active
105,Davies,ACX-00 Acreex White GAL,Exterior / waterproofing,4 L / gal,4,,1300,Active
106,Davies,ACX-10 Acreex Tile Red GAL,Exterior / waterproofing,4 L / gal,4,,1300,Active
107,Davies,ACX-21 Acreex Crystal Blue GAL,Exterior / waterproofing,4 L / gal,4,,1300,Active
108,Davies,ACX-30 Acreex Spanish Green GAL,Exterior / waterproofing,4 L / gal,4,,1300,Active
109,Davies,ACX-61 Acreex Velvet Gray GAL,Exterior / waterproofing,4 L / gal,4,,1300,Active
110,Davies,ACX-64 Acreex Dark Velvet Gray GAL,Exterior / waterproofing,4 L / gal,4,,1300,Active
111,Davies,ACX-R Acreex Reducer GAL,Solvent / hardener,4 L / gal,4,,650,Active
112,Davies,AG-100 Aqua Gloss-it White,Paint / assorted,piece / assorted,,,250,Active
113,Davies,CS-1350 Concrete Sealer White GAL,Putty / filler / sealer,4 L / gal,4,,1300,Active
114,Davies,CS-88 Solo Flat White Latex GAL,Latex paint,4 L / gal,4,,760,Active
115,Davies,CS-88 Solo Flat White Latex TIN,Latex paint,16 L / tin,16,,2810,Active
116,Davies,CS-99 Solo Gloss White Latex GAL,Latex paint,4 L / gal,4,,760,Active
117,Davies,CS-99 Solo Gloss White Latex TIN,Latex paint,16 L / tin,16,,2810,Active
118,Davies,DV-1350 Concrete Sealer White GAL Inactive,Inactive item,4 L / gal,4,,,Inactive
119,Davies,DV-1350 Concrete Sealer White TIN,Putty / filler / sealer,16 L / tin,16,,4680,Active
120,Davies,DV-20-40 Oil Wood Stain Maple,Paint / assorted,piece / assorted,,,250,Active
121,Davies,DV-300 Flat Wall Enamel White GAL,Latex paint,4 L / gal,4,,760,Active
122,Davies,DV-400 QDE White GAL,Enamel / lacquer / primer,4 L / gal,4,,900,Active
123,Davies,DV-5-525 Liquid Tile Top Coat Gloss GAL,Enamel / lacquer / primer,4 L / gal,4,,900,Active
124,Davies,DV-5-700 Liquid Tile Primer White GAL,Enamel / lacquer / primer,4 L / gal,4,,900,Active
125,Davies,DV-5-900 Liquid Tile Cast GAL,Paint / assorted,4 L / gal,4,,800,Active
126,Davies,DV-50-61 RS Velvet Gray,Paint / assorted,piece / assorted,,,250,Active
127,Davies,DV-500 Flat White TIN,Paint / assorted,16 L / tin,16,,2800,Active
128,Davies,DV-515 Semi-Gloss White TIN,Paint / assorted,16 L / tin,16,,2800,Active
129,Davies,DV-71 Lacquer Thinner GAL,Solvent / hardener,4 L / gal,4,,650,Active
130,Davies,EPS-050 Eposeal Sealer,Putty / filler / sealer,piece / assorted,,,250,Active
131,Davies,Liquid Tile DV-5-550 Top Coat Clear GAL,Enamel / lacquer / primer,4 L / gal,4,,900,Active
132,Davies,Liquid Tile DV-5-70 Reducer GAL,Solvent / hardener,4 L / gal,4,,650,Active
133,Davies,MCS-0120 Heavy Beige GAL,Paint / assorted,4 L / gal,4,,800,Active
134,Davies,MCS-2103 Sea Sprinkle GAL,Paint / assorted,4 L / gal,4,,800,Active
135,Davies,MCS-4101 Bright Wonder GAL,Paint / assorted,4 L / gal,4,,800,Active
136,Davies,Oil Tinting Color TC-10 Bulletin Red 1/4 Liter,Tint / automotive color,0.25 L,0.25,,180,Active
137,Davies,Oil Tinting Color TC-11 Venetian Red 1/4 Liter,Tint / automotive color,0.25 L,0.25,,180,Active
138,Davies,Oil Tinting Color TC-21 Thalo Blue 1/4 Liter,Tint / automotive color,0.25 L,0.25,,180,Active
139,Davies,Oil Tinting Color TC-33 Thanlo Green 1/4 Liter,Tint / automotive color,0.25 L,0.25,,180,Active
140,Davies,Oil Tinting Color TC-44 Hansa Yellow 1/4 Liter,Tint / automotive color,0.25 L,0.25,,180,Active
141,Davies,Oil Tinting Color TC-60 Lamp Black 1/4 Liter,Tint / automotive color,0.25 L,0.25,,180,Active
142,Davies,Oil Tinting Color TC-90 Raw Sienna 1/4 Liter,Tint / automotive color,0.25 L,0.25,,180,Active
143,Davies,Oil Tinting Color TC-91 Burnt Sienna 1/4 Liter,Tint / automotive color,0.25 L,0.25,,180,Active
144,Davies,Oil Tinting Color TC-93 Burnt Umber 1/4 Liter,Tint / automotive color,0.25 L,0.25,,180,Active
145,Davies,Pondo UC-1 Flat White Flat White GAL,Latex paint,4 L / gal,4,,760,Active
146,Davies,Pondo UC-1 Flat White Flat White TIN,Latex paint,16 L / tin,16,,2810,Active
147,Davies,Roofshield DV-50-12 Spanish Red GAL,Exterior / waterproofing,4 L / gal,4,,900,Active
148,Davies,Roofshield DV-50-12 Spanish Red TIN,Exterior / waterproofing,16 L / tin,16,,3330,Active
149,Davies,Roofshield DV-50-13 Light Spanish Red GAL,Exterior / waterproofing,4 L / gal,4,,900,Active
150,Davies,Roofshield DV-50-13 Light Spanish Red TIN,Exterior / waterproofing,16 L / tin,16,,3330,Active
151,Davies,Roofshield DV-50-15 Terra Cotta GAL,Exterior / waterproofing,4 L / gal,4,,900,Active
152,Davies,Roofshield DV-50-15 Terra Cotta TIN,Exterior / waterproofing,16 L / tin,16,,3330,Active
